review,rating,date,bank,source,sentiment_label,sentiment_score,theme
sifen,5,2025-11-16,CBE,Google Play,NEGATIVE,0.8473550081253052,General
i like this√,4,2025-11-16,CBE,Google Play,POSITIVE,0.9998555183410645,General
Ok,3,2025-11-16,CBE,Google Play,POSITIVE,0.9997851252555847,General
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,CBE,Google Play,NEGATIVE,0.9916301369667053,Features
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,CBE,Google Play,NEGATIVE,0.9996232986450195,General
Like,5,2025-11-13,CBE,Google Play,POSITIVE,0.9910564422607422,General
Nice and very useful app i like it!,5,2025-11-13,CBE,Google Play,POSITIVE,0.9998588562011719,General
good,5,2025-11-13,CBE,Google Play,POSITIVE,0.9998161196708679,General
Good,5,2025-11-13,CBE,Google Play,POSITIVE,0.9998161196708679,General
smart app,4,2025-11-12,CBE,Google Play,POSITIVE,0.999789297580719,General
good App,5,2025-11-12,CBE,Google Play,POSITIVE,0.9998493194580078,General
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,Google Play,NEGATIVE,0.992516815662384,General
ok,5,2025-11-11,CBE,Google Play,POSITIVE,0.9997851252555847,General
cbe is my choice,4,2025-11-11,CBE,Google Play,POSITIVE,0.9987378716468811,General
Awesome,5,2025-11-11,CBE,Google Play,POSITIVE,0.9998682737350464,General
I am not able to transfer. The app is not responding,1,2025-11-11,CBE,Google Play,NEGATIVE,0.999775230884552,Features
Very convenient App,5,2025-11-11,CBE,Google Play,POSITIVE,0.9945734143257141,General
excellent but sometimes can not connect,5,2025-11-10,CBE,Google Play,NEGATIVE,0.9832204580307007,General
good app,5,2025-11-10,CBE,Google Play,POSITIVE,0.9998493194580078,General
wow apk,5,2025-11-10,CBE,Google Play,POSITIVE,0.9992477893829346,General
best 100 %,5,2025-11-10,CBE,Google Play,POSITIVE,0.9998010993003845,General
bad app,1,2025-11-10,CBE,Google Play,NEGATIVE,0.9997212290763855,General
best app,5,2025-11-10,CBE,Google Play,POSITIVE,0.999686598777771,General
wow,5,2025-11-10,CBE,Google Play,POSITIVE,0.999592125415802,General
nice app,5,2025-11-10,CBE,Google Play,POSITIVE,0.9998061060905457,General
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,CBE,Google Play,POSITIVE,0.8869743943214417,Performance
I can't access it properly I think it needs update,1,2025-11-10,CBE,Google Play,NEGATIVE,0.9996213912963867,General
👌👌,5,2025-11-10,CBE,Google Play,NEGATIVE,0.6970565915107727,General
best 👌,5,2025-11-10,CBE,Google Play,POSITIVE,0.9997019171714783,General
good,4,2025-11-10,CBE,Google Play,POSITIVE,0.9998161196708679,General
not Refresh,2,2025-11-10,CBE,Google Play,NEGATIVE,0.9990518689155579,General
your statement is not used as wanted,1,2025-11-10,CBE,Google Play,NEGATIVE,0.99908447265625,General
good very good,5,2025-11-09,CBE,Google Play,POSITIVE,0.9998477697372437,General
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,CBE,Google Play,NEGATIVE,0.9997031092643738,General
good app,5,2025-11-08,CBE,Google Play,POSITIVE,0.9998493194580078,General
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,CBE,Google Play,NEGATIVE,0.9800481200218201,General
Good !,5,2025-11-08,CBE,Google Play,POSITIVE,0.9998268485069275,General
i like it,5,2025-11-08,CBE,Google Play,POSITIVE,0.9998593330383301,General
Very nice app,5,2025-11-08,CBE,Google Play,POSITIVE,0.9998562335968018,General
the app is not functional this week.,4,2025-11-08,CBE,Google Play,NEGATIVE,0.9996664524078369,General
good,5,2025-11-07,CBE,Google Play,POSITIVE,0.9998161196708679,General
very updated bank,5,2025-11-06,CBE,Google Play,POSITIVE,0.999656081199646,General
tankyu,5,2025-11-05,CBE,Google Play,POSITIVE,0.8404368162155151,General
nice,5,2025-11-05,CBE,Google Play,POSITIVE,0.9998552799224854,General
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,CBE,Google Play,NEGATIVE,0.9866906404495239,General
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,CBE,Google Play,NEGATIVE,0.9989122152328491,General
loved it,5,2025-11-05,CBE,Google Play,POSITIVE,0.9998797178268433,General
Ok,1,2025-11-05,CBE,Google Play,POSITIVE,0.9997851252555847,General
this app is not working on my phone,5,2025-11-03,CBE,Google Play,NEGATIVE,0.9996734857559204,General
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,CBE,Google Play,NEGATIVE,0.964024543762207,General
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,CBE,Google Play,NEGATIVE,0.9985938668251038,Performance
nice,5,2025-11-02,CBE,Google Play,POSITIVE,0.9998552799224854,General
wow 😘😘😘,4,2025-11-02,CBE,Google Play,POSITIVE,0.9992976188659668,General
mobile banking broblem,5,2025-11-01,CBE,Google Play,NEGATIVE,0.9918060302734375,General
good job,5,2025-11-01,CBE,Google Play,POSITIVE,0.999835729598999,General
good,3,2025-11-01,CBE,Google Play,POSITIVE,0.9998161196708679,General
it is a good and clear apps to use,4,2025-10-31,CBE,Google Play,POSITIVE,0.9998574256896973,General
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,CBE,Google Play,NEGATIVE,0.929838240146637,General
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,Google Play,POSITIVE,0.9998561143875122,General
niiceh,5,2025-10-29,CBE,Google Play,POSITIVE,0.8779535293579102,General
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,Google Play,POSITIVE,0.9965399503707886,General
🤮,1,2025-10-29,CBE,Google Play,NEGATIVE,0.6970565915107727,General
abdulakim abrahim elemoo,5,2025-10-29,CBE,Google Play,POSITIVE,0.9634568691253662,General
good app,5,2025-10-28,CBE,Google Play,POSITIVE,0.9998493194580078,General
strong,5,2025-10-28,CBE,Google Play,POSITIVE,0.999862551689148,General
good,5,2025-10-28,CBE,Google Play,POSITIVE,0.9998161196708679,General
best,5,2025-10-28,CBE,Google Play,POSITIVE,0.9997941851615906,General
Abebaw Zenebe,5,2025-10-28,CBE,Google Play,NEGATIVE,0.5422849655151367,General
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,CBE,Google Play,POSITIVE,0.9990962743759155,General
good,5,2025-10-27,CBE,Google Play,POSITIVE,0.9998161196708679,General
Cbe,5,2025-10-27,CBE,Google Play,POSITIVE,0.9966009855270386,General
Active and granted system,5,2025-10-27,CBE,Google Play,POSITIVE,0.998322069644928,General
fast app,4,2025-10-27,CBE,Google Play,POSITIVE,0.9983617663383484,General
cool 😎,5,2025-10-27,CBE,Google Play,POSITIVE,0.9997991919517517,General
Galaxy A10s,3,2025-10-26,CBE,Google Play,POSITIVE,0.8983982801437378,General
the best apps,5,2025-10-26,CBE,Google Play,POSITIVE,0.9998617172241211,General
arif app new,5,2025-10-26,CBE,Google Play,NEGATIVE,0.5203981995582581,General
laga Bari biranch,5,2025-10-26,CBE,Google Play,NEGATIVE,0.9922856092453003,Performance
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,CBE,Google Play,NEGATIVE,0.6970565915107727,General
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,Google Play,NEGATIVE,0.9949776530265808,General
Attractive,5,2025-10-25,CBE,Google Play,POSITIVE,0.9998689889907837,General
mite,5,2025-10-24,CBE,Google Play,NEGATIVE,0.9965571165084839,General
useful,5,2025-10-24,CBE,Google Play,POSITIVE,0.9997634291648865,General
nice,4,2025-10-23,CBE,Google Play,POSITIVE,0.9998552799224854,General
"not good, not bad!",3,2025-10-23,CBE,Google Play,NEGATIVE,0.9981550574302673,General
very good,5,2025-10-23,CBE,Google Play,POSITIVE,0.9998520612716675,General
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,CBE,Google Play,NEGATIVE,0.9546589255332947,General
good job,5,2025-10-22,CBE,Google Play,POSITIVE,0.999835729598999,General
imp,5,2025-10-22,CBE,Google Play,NEGATIVE,0.9978600144386292,General
super fast app,5,2025-10-21,CBE,Google Play,POSITIVE,0.9976546168327332,General
good app,4,2025-10-20,CBE,Google Play,POSITIVE,0.9998493194580078,General
useful,5,2025-10-20,CBE,Google Play,POSITIVE,0.9997634291648865,General
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,CBE,Google Play,NEGATIVE,0.9983618855476379,UI/UX
cbe,4,2025-10-18,CBE,Google Play,POSITIVE,0.9966009855270386,General
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,CBE,Google Play,NEGATIVE,0.9991005659103394,General
blah blah blah,5,2025-10-18,CBE,Google Play,NEGATIVE,0.9977899789810181,General
good,5,2025-10-17,CBE,Google Play,POSITIVE,0.9998161196708679,General
bad ግዴታ መሆንሁ,1,2025-10-17,CBE,Google Play,NEGATIVE,0.9995405673980713,General
best,5,2025-10-17,CBE,Google Play,POSITIVE,0.9997941851615906,General
CBE no.1,5,2025-10-17,CBE,Google Play,POSITIVE,0.9968194961547852,General
good,5,2025-10-16,CBE,Google Play,POSITIVE,0.9998161196708679,General
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,CBE,Google Play,POSITIVE,0.996988832950592,General
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,CBE,Google Play,POSITIVE,0.9997401833534241,UI/UX
gooof,5,2025-10-16,CBE,Google Play,NEGATIVE,0.996545135974884,General
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,CBE,Google Play,NEGATIVE,0.9996702671051025,Performance
Best app,5,2025-10-16,CBE,Google Play,POSITIVE,0.999686598777771,General
best,5,2025-10-15,CBE,Google Play,POSITIVE,0.9997941851615906,General
still not perfect like before,1,2025-10-15,CBE,Google Play,NEGATIVE,0.9995744824409485,General
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,CBE,Google Play,NEGATIVE,0.9985210299491882,General
APPLIED,1,2025-10-14,CBE,Google Play,POSITIVE,0.9989719390869141,General
10 years ago,4,2025-10-14,CBE,Google Play,POSITIVE,0.9060004353523254,General
Asefa Obsa,5,2025-10-14,CBE,Google Play,NEGATIVE,0.9988316893577576,General
best app,4,2025-10-14,CBE,Google Play,POSITIVE,0.999686598777771,General
it's good app,5,2025-10-14,CBE,Google Play,POSITIVE,0.9998689889907837,General
very slow,1,2025-10-14,CBE,Google Play,NEGATIVE,0.9997065663337708,Performance
berhan deriba wami,4,2025-10-14,CBE,Google Play,POSITIVE,0.7555697560310364,General
good,5,2025-10-13,CBE,Google Play,POSITIVE,0.9998161196708679,General
mahamad Usman,5,2025-10-13,CBE,Google Play,POSITIVE,0.9890894293785095,General
Erako,5,2025-10-13,CBE,Google Play,POSITIVE,0.9978224039077759,General
🔥🔥🔥🔥🔥,5,2025-10-13,CBE,Google Play,NEGATIVE,0.6970565915107727,General
opne,5,2025-10-13,CBE,Google Play,NEGATIVE,0.7972500920295715,General
mehommd nuri,5,2025-10-13,CBE,Google Play,POSITIVE,0.9508018493652344,General
Best,5,2025-10-12,CBE,Google Play,POSITIVE,0.9997941851615906,General
good,5,2025-10-12,CBE,Google Play,POSITIVE,0.9998161196708679,General
providing very secure service.,5,2025-10-12,CBE,Google Play,POSITIVE,0.9993906021118164,General
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,CBE,Google Play,NEGATIVE,0.9760127663612366,General
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,CBE,Google Play,NEGATIVE,0.8832131028175354,General
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,CBE,Google Play,POSITIVE,0.9531126022338867,General
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,CBE,Google Play,NEGATIVE,0.9994134902954102,General
Mamma Husen,2,2025-10-11,CBE,Google Play,POSITIVE,0.9694636464118958,General
ok,5,2025-10-11,CBE,Google Play,POSITIVE,0.9997851252555847,General
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,CBE,Google Play,NEGATIVE,0.9932369589805603,General
good,5,2025-10-10,CBE,Google Play,POSITIVE,0.9998161196708679,General
exceptional application from others bank,5,2025-10-10,CBE,Google Play,POSITIVE,0.9996663331985474,General
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,CBE,Google Play,NEGATIVE,0.9849932193756104,General
good👍👍👍😊😊😊,5,2025-10-10,CBE,Google Play,NEGATIVE,0.6970565915107727,General
really good app,5,2025-10-10,CBE,Google Play,POSITIVE,0.9998643398284912,General
smart bank CBE,5,2025-10-10,CBE,Google Play,POSITIVE,0.9971417784690857,General
Ali urgesa11,3,2025-10-09,CBE,Google Play,NEGATIVE,0.9212201833724976,General
it's good,5,2025-10-09,CBE,Google Play,POSITIVE,0.9998360872268677,General
Good apps,5,2025-10-09,CBE,Google Play,POSITIVE,0.9998608827590942,General
good,5,2025-10-09,CBE,Google Play,POSITIVE,0.9998161196708679,General
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,CBE,Google Play,NEGATIVE,0.8905713558197021,General
best app i ever seen,5,2025-10-09,CBE,Google Play,POSITIVE,0.999450147151947,General
it's game changing in financial system,4,2025-10-09,CBE,Google Play,POSITIVE,0.9973504543304443,General
"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,CBE,Google Play,NEGATIVE,0.9171797633171082,General
will good updating,5,2025-10-09,CBE,Google Play,POSITIVE,0.9998600482940674,General
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,CBE,Google Play,NEGATIVE,0.9994321465492249,General
why removing screenshot feature why?,2,2025-10-08,CBE,Google Play,NEGATIVE,0.9981147050857544,General
very good application! thank you all who participate!,5,2025-10-08,CBE,Google Play,POSITIVE,0.9998753070831299,General
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,CBE,Google Play,POSITIVE,0.9998462200164795,General
user compatible app!,5,2025-10-08,CBE,Google Play,POSITIVE,0.9933547973632812,General
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,CBE,Google Play,NEGATIVE,0.9972966313362122,General
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,CBE,Google Play,POSITIVE,0.9998732805252075,General
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,CBE,Google Play,POSITIVE,0.9998595714569092,General
Asledin Ibsa,5,2025-10-06,CBE,Google Play,POSITIVE,0.9360381364822388,General
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,CBE,Google Play,NEGATIVE,0.9996823072433472,General
my bank,5,2025-10-05,CBE,Google Play,NEGATIVE,0.845909595489502,General
Data,5,2025-10-04,CBE,Google Play,POSITIVE,0.961766242980957,General
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,CBE,Google Play,NEGATIVE,0.9996047616004944,General
excellent app with lots of features,5,2025-10-04,CBE,Google Play,POSITIVE,0.9998672008514404,General
very good 👍 mobile banking,5,2025-10-04,CBE,Google Play,POSITIVE,0.9998119473457336,General
so special,5,2025-10-04,CBE,Google Play,POSITIVE,0.9998575448989868,General
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,CBE,Google Play,NEGATIVE,0.9492278099060059,General
woow cbe,5,2025-10-03,CBE,Google Play,POSITIVE,0.8725982308387756,General
cbe the best bank app,4,2025-10-03,CBE,Google Play,POSITIVE,0.9993187189102173,General
This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,CBE,Google Play,POSITIVE,0.9998519420623779,General
Rijalufaris,5,2025-10-02,CBE,Google Play,POSITIVE,0.678228497505188,General
its Best app But i hate the Repeatedly update request,5,2025-10-02,CBE,Google Play,NEGATIVE,0.9902864098548889,General
good app,5,2025-10-02,CBE,Google Play,POSITIVE,0.9998493194580078,General
imoo,3,2025-10-02,CBE,Google Play,POSITIVE,0.9941620230674744,General
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,CBE,Google Play,POSITIVE,0.9915570020675659,General
screen shoot always not allowed why?,5,2025-10-02,CBE,Google Play,NEGATIVE,0.9965750575065613,General
enkorabetalen,5,2025-10-01,CBE,Google Play,POSITIVE,0.9099953174591064,General
good,5,2025-10-01,CBE,Google Play,POSITIVE,0.9998161196708679,General
Gamada mahamadi,1,2025-10-01,CBE,Google Play,POSITIVE,0.7746045589447021,General
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,CBE,Google Play,NEGATIVE,0.9974638223648071,Performance
verfcasencod,5,2025-09-30,CBE,Google Play,NEGATIVE,0.8742530941963196,General
you can't get your own transaction history,1,2025-09-29,CBE,Google Play,NEGATIVE,0.9996032118797302,General
sintu,5,2025-09-29,CBE,Google Play,NEGATIVE,0.9596135020256042,General
BEST,5,2025-09-28,CBE,Google Play,POSITIVE,0.9997941851615906,General
Bank of Ethiopia,5,2025-09-28,CBE,Google Play,POSITIVE,0.9304206371307373,General
"All most Good, but need improvement",5,2025-09-27,CBE,Google Play,NEGATIVE,0.8200955390930176,General
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,CBE,Google Play,POSITIVE,0.9998365640640259,General
poor app all of you guys delete CBE and download BOA,1,2025-09-27,CBE,Google Play,NEGATIVE,0.9997864365577698,Performance
niceapp,5,2025-09-27,CBE,Google Play,POSITIVE,0.9998270869255066,General
good,5,2025-09-26,CBE,Google Play,POSITIVE,0.9998161196708679,General
good,5,2025-09-25,CBE,Google Play,POSITIVE,0.9998161196708679,General
the best app of all,5,2025-09-25,CBE,Google Play,POSITIVE,0.9998633861541748,General
❤️,5,2025-09-25,CBE,Google Play,NEGATIVE,0.6970565915107727,General
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,CBE,Google Play,NEGATIVE,0.9988370537757874,Performance
Juhaar,5,2025-09-24,CBE,Google Play,NEGATIVE,0.6955298185348511,General
I am using CBE app very fantastic.,5,2025-09-24,CBE,Google Play,POSITIVE,0.999567449092865,General
bist app tankyou,4,2025-09-23,CBE,Google Play,NEGATIVE,0.9962037205696106,General
this is very useful and consistent app,5,2025-09-23,CBE,Google Play,POSITIVE,0.9998074173927307,General
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,CBE,Google Play,POSITIVE,0.9998519420623779,General
So good,5,2025-09-23,CBE,Google Play,POSITIVE,0.999841570854187,General
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23,CBE,Google Play,NEGATIVE,0.9990800619125366,General
"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,CBE,Google Play,NEGATIVE,0.9970171451568604,General
It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,CBE,Google Play,NEGATIVE,0.7687899470329285,Features
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,CBE,Google Play,NEGATIVE,0.9989680051803589,Bugs/Crash
very important app,4,2025-09-21,CBE,Google Play,POSITIVE,0.9995480179786682,General
the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,CBE,Google Play,POSITIVE,0.9998689889907837,General
ok,5,2025-09-21,CBE,Google Play,POSITIVE,0.9997851252555847,General
DANTRO BAND!!!,5,2025-09-21,CBE,Google Play,POSITIVE,0.9943898320198059,General
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,CBE,Google Play,POSITIVE,0.9983887672424316,Features
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,CBE,Google Play,NEGATIVE,0.9951974749565125,General
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,CBE,Google Play,NEGATIVE,0.9981855750083923,Performance
አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20,CBE,Google Play,NEGATIVE,0.932232677936554,General
asfaw damse,5,2025-09-19,CBE,Google Play,NEGATIVE,0.987163245677948,General
ok,5,2025-09-19,CBE,Google Play,POSITIVE,0.9997851252555847,General
nice,5,2025-09-19,CBE,Google Play,POSITIVE,0.9998552799224854,General
